	label	tagged_in_context	span_bounds	all_tokens	all_pos_tokens	all_ner_tokens	snippet_token_count	total_token_count	snippet_ratio	snippet_len	full_len	context_len	silver_tagged_in_context
416	exaggeration,minimisation	I'm sure President Trump is <BOS> deeply disappointed <EOS> in not being able to enter Tower Hamlets.	(6, 7)	"['I', ""'m"", 'sure', 'President', 'Trump', 'is', 'deeply', 'disappointed', 'in', 'not', 'being', 'able', 'to', 'enter', 'Tower', 'Hamlets', '.']"	['PRP', 'VBP', 'JJ', 'NNP', 'NNP', 'VBZ', 'RB', 'JJ', 'IN', 'RB', 'VBG', 'JJ', 'TO', 'VB', 'NNP', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON']	2	17	0.11764705882352941	2	17	15	I'm sure President Trump is  <BOS> Unable to access <EOS>  in not being able to enter Tower Hamlets.
417	not_propaganda	It <BOS> is not immediately clear how and when the documents will be released, but by Monday evening, intelligence agencies said they had already begun working to prepare <EOS> the documents.	(1, 28)	['It', 'is', 'not', 'immediately', 'clear', 'how', 'and', 'when', 'the', 'documents', 'will', 'be', 'released', ',', 'but', 'by', 'Monday', 'evening', ',', 'intelligence', 'agencies', 'said', 'they', 'had', 'already', 'begun', 'working', 'to', 'prepare', 'the', 'documents', '.']	['PRP', 'VBZ', 'RB', 'RB', 'JJ', 'WRB', 'CC', 'WRB', 'DT', 'NNS', 'MD', 'VB', 'VBN', ',', 'CC', 'IN', 'NNP', 'NN', ',', 'NN', 'NNS', 'VBD', 'PRP', 'VBD', 'RB', 'VBN', 'VBG', 'TO', 'VB', 'DT', 'NNS', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	28	32	0.875	28	32	4	
418	appeal_to_fear_prejudice	Black Death Warning: <BOS> The Plague Is Impossible To Eradicate <EOS>	(4, 9)	['Black', 'Death', 'Warning', ':', 'The', 'Plague', 'Is', 'Impossible', 'To', 'Eradicate']	['NNP', 'NNP', 'NNP', ':', 'DT', 'NNP', 'NNP', 'NNP', 'TO', 'VB']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	6	10	0.6	6	10	4	Black Death Warning:  <BOS> Death Is Imminent <EOS> 
419	flag_waving	It's incredible the amount of hypocrisy Senator Dianne Feinstein puts on display <BOS> for the American people to see <EOS>, and yet, the people in her state continue to put her in office.	(13, 18)	"['It', ""'s"", 'incredible', 'the', 'amount', 'of', 'hypocrisy', 'Senator', 'Dianne', 'Feinstein', 'puts', 'on', 'display', 'for', 'the', 'American', 'people', 'to', 'see', ',', 'and', 'yet', ',', 'the', 'people', 'in', 'her', 'state', 'continue', 'to', 'put', 'her', 'in', 'office', '.']"	['PRP', 'VBZ', 'JJ', 'DT', 'NN', 'IN', 'NN', 'NNP', 'NNP', 'NNP', 'VBZ', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'TO', 'VB', ',', 'CC', 'RB', ',', 'DT', 'NNS', 'IN', 'PRP$', 'NN', 'NN', 'TO', 'VB', 'PRP$', 'IN', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	6	35	0.17142857142857143	6	35	29	It's incredible the amount of hypocrisy Senator Dianne Feinstein puts on display  <BOS> for the American people to pay for <EOS> , and yet, the people in her state continue to put her in office.
420	not_propaganda	If they <BOS> slip up even once, their failure will be noted, <EOS> and shared And they will be made to understand that their lapse is remembered.	(2, 12)	['If', 'they', 'slip', 'up', 'even', 'once', ',', 'their', 'failure', 'will', 'be', 'noted', ',', 'and', 'shared', 'And', 'they', 'will', 'be', 'made', 'to', 'understand', 'that', 'their', 'lapse', 'is', 'remembered', '.']	['IN', 'PRP', 'VBP', 'RP', 'RB', 'RB', ',', 'PRP$', 'NN', 'MD', 'VB', 'VBN', ',', 'CC', 'VBN', 'CC', 'PRP', 'MD', 'VB', 'VBN', 'TO', 'VB', 'DT', 'PRP$', 'NN', 'VBZ', 'VBN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	11	28	0.39285714285714285	11	28	17	
421	not_propaganda	"""All of a sudden, the hearings are over, and the <BOS> rumors <EOS> start coming out,"" Trump said."	(13, 13)	"['``', 'All', 'of', 'a', 'sudden', ',', 'the', 'hearings', 'are', 'over', ',', 'and', 'the', 'rumors', 'start', 'coming', 'out', ',', ""''"", 'Trump', 'said', '.']"	"['``', 'DT', 'IN', 'DT', 'JJ', ',', 'DT', 'NNS', 'VBP', 'IN', ',', 'CC', 'DT', 'NNS', 'VBP', 'VBG', 'RP', ',', ""''"", 'NNP', 'VBD', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O']	1	22	0.045454545454545456	1	22	21	
422	flag_waving	When the Russians used chemical weapons in Great Britain, President Trump joined <BOS> our <EOS> allies and expelled 60 Russian intelligence officers from the United States.	(13, 13)	['When', 'the', 'Russians', 'used', 'chemical', 'weapons', 'in', 'Great', 'Britain', ',', 'President', 'Trump', 'joined', 'our', 'allies', 'and', 'expelled', '60', 'Russian', 'intelligence', 'officers', 'from', 'the', 'United', 'States', '.']	['WRB', 'DT', 'NNPS', 'JJ', 'NN', 'NNS', 'IN', 'NNP', 'NNP', ',', 'NNP', 'NNP', 'VBD', 'PRP$', 'NNS', 'CC', 'VBD', 'CD', 'JJ', 'NN', 'NNS', 'IN', 'DT', 'NNP', 'NNPS', '.']	['O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'GPE', 'GPE', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'CARDINAL', 'NORP', 'O', 'O', 'O', 'GPE', 'GPE', 'GPE', 'O']	1	26	0.038461538461538464	1	26	25	When the Russians used chemical weapons in Great Britain, President Trump joined  <BOS> Theirs <EOS>  allies and expelled 60 Russian intelligence officers from the United States.
423	causal_oversimplification	On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which <BOS> it knew would point to the CIA's guilt in the assassination <EOS>.	(22, 33)	"['On', 'the', 'one', 'hand', ',', 'it', 'could', 'refuse', 'to', 'grant', 'Trump', 'what', 'he', 'wanted', 'and', 'let', 'the', 'records', 'be', 'released', ',', 'which', 'it', 'knew', 'would', 'point', 'to', 'the', 'CIA', ""'s"", 'guilt', 'in', 'the', 'assassination', '.']"	['IN', 'DT', 'CD', 'NN', ',', 'PRP', 'MD', 'VB', 'TO', 'VB', 'NNP', 'WP', 'PRP', 'VBD', 'CC', 'VB', 'DT', 'NNS', 'VB', 'VBN', ',', 'WDT', 'PRP', 'VBD', 'MD', 'VB', 'TO', 'DT', 'NNP', 'POS', 'NN', 'IN', 'DT', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O']	12	35	0.34285714285714286	12	35	23	On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which  <BOS> Refuse to grant Trump what he wanted and let the records be released, which it would reveal the CIA's involvement in the assassination <EOS> .
424	not_propaganda	"Campbell was required by the Russians, under threat, to launder large sums of money  which allowed the FBI to uncover a massive Russian <BOS> ""nuclear money laundering apparatus"" <EOS>"	(25, 30)	"['Campbell', 'was', 'required', 'by', 'the', 'Russians', ',', 'under', 'threat', ',', 'to', 'launder', 'large', 'sums', 'of', 'money', 'which', 'allowed', 'the', 'FBI', 'to', 'uncover', 'a', 'massive', 'Russian', '``', 'nuclear', 'money', 'laundering', 'apparatus', ""''""]"	"['NNP', 'VBD', 'VBN', 'IN', 'DT', 'NNPS', ',', 'IN', 'NN', ',', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'NN', 'WDT', 'VBD', 'DT', 'NNP', 'TO', 'VB', 'DT', 'JJ', 'JJ', '``', 'JJ', 'NN', 'NN', 'NN', ""''""]"	['ORG', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O']	6	31	0.1935483870967742	6	31	25	
425	not_propaganda	The legitimately established Federation is a public juridic person <BOS> in the Church and is therefore able to acquire, possess, administer, and alienate temporal, <EOS> movable and immovable goods, which are ecclesiastical assets, in accordance with the universal and proper law.	(9, 26)	['The', 'legitimately', 'established', 'Federation', 'is', 'a', 'public', 'juridic', 'person', 'in', 'the', 'Church', 'and', 'is', 'therefore', 'able', 'to', 'acquire', ',', 'possess', ',', 'administer', ',', 'and', 'alienate', 'temporal', ',', 'movable', 'and', 'immovable', 'goods', ',', 'which', 'are', 'ecclesiastical', 'assets', ',', 'in', 'accordance', 'with', 'the', 'universal', 'and', 'proper', 'law', '.']	['DT', 'RB', 'VBN', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NNP', 'CC', 'VBZ', 'RB', 'JJ', 'TO', 'VB', ',', 'NN', ',', 'NN', ',', 'CC', 'JJ', 'NN', ',', 'JJ', 'CC', 'JJ', 'NNS', ',', 'WDT', 'VBP', 'JJ', 'NNS', ',', 'IN', 'NN', 'IN', 'DT', 'NN', 'CC', 'JJ', 'NN', '.']	['O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	18	46	0.391304347826087	18	46	28	
426	exaggeration,minimisation	Allah has created them to be partisans of Satan; most treacherous in regard to all they do; <BOS> whose whole endeavor in this nether life is useless <EOS>, though they themselves imagine that they are doing fine work.	(19, 27)	['Allah', 'has', 'created', 'them', 'to', 'be', 'partisans', 'of', 'Satan', ';', 'most', 'treacherous', 'in', 'regard', 'to', 'all', 'they', 'do', ';', 'whose', 'whole', 'endeavor', 'in', 'this', 'nether', 'life', 'is', 'useless', ',', 'though', 'they', 'themselves', 'imagine', 'that', 'they', 'are', 'doing', 'fine', 'work', '.']	['NNP', 'VBZ', 'VBN', 'PRP', 'TO', 'VB', 'NNS', 'IN', 'NNP', ':', 'JJS', 'JJ', 'IN', 'NN', 'TO', 'DT', 'PRP', 'VBP', ':', 'WP$', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBZ', 'JJ', ',', 'IN', 'PRP', 'PRP', 'VBP', 'IN', 'PRP', 'VBP', 'VBG', 'JJ', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	9	40	0.225	9	40	31	Allah has created them to be partisans of Satan; most treacherous in regard to all they do;  <BOS> to perpetuate evil and spread corruption with every step they take, every word they speak, and every thought they think <EOS> , though they themselves imagine that they are doing fine work.
427	not_propaganda	According to Campbell Russia provided the resources necessary for the nation's nuclear reactors, despite promises that they were not <BOS> sharing such technology with <EOS> Iran.	(21, 24)	"['According', 'to', 'Campbell', 'Russia', 'provided', 'the', 'resources', 'necessary', 'for', 'the', 'nation', ""'s"", 'nuclear', 'reactors', ',', 'despite', 'promises', 'that', 'they', 'were', 'not', 'sharing', 'such', 'technology', 'with', 'Iran', '.']"	['VBG', 'TO', 'NNP', 'NNP', 'VBD', 'DT', 'NNS', 'JJ', 'IN', 'DT', 'NN', 'POS', 'JJ', 'NNS', ',', 'IN', 'NNS', 'IN', 'PRP', 'VBD', 'RB', 'VBG', 'JJ', 'NN', 'IN', 'NNP', '.']	['O', 'O', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O']	4	27	0.14814814814814814	4	27	23	
428	appeal_to_fear_prejudice	"At a rally of 8,500 in Indiana on Friday, <BOS> Trump encouraged them to go out and vote Republican if they didn't want to be uttering the words ""Speaker Pelosi"" over the next two years <EOS>."	(10, 37)	"['At', 'a', 'rally', 'of', '8,500', 'in', 'Indiana', 'on', 'Friday', ',', 'Trump', 'encouraged', 'them', 'to', 'go', 'out', 'and', 'vote', 'Republican', 'if', 'they', 'did', ""n't"", 'want', 'to', 'be', 'uttering', 'the', 'words', '``', 'Speaker', 'Pelosi', ""''"", 'over', 'the', 'next', 'two', 'years', '.']"	"['IN', 'DT', 'NN', 'IN', 'CD', 'IN', 'NNP', 'IN', 'NNP', ',', 'NNP', 'VBD', 'PRP', 'TO', 'VB', 'RP', 'CC', 'VB', 'JJ', 'IN', 'PRP', 'VBD', 'RB', 'VB', 'TO', 'VB', 'VBG', 'DT', 'NNS', '``', 'NNP', 'NNP', ""''"", 'IN', 'DT', 'JJ', 'CD', 'NNS', '.']"	['O', 'O', 'O', 'O', 'CARDINAL', 'O', 'GPE', 'O', 'DATE', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'DATE', 'DATE']	28	39	0.717948717948718	28	39	11	"At a rally of 8,500 in Indiana on Friday,  <BOS> Trump urged them to cast their ballots for Republicans, lest they face the unpleasantness of hearing ""Speaker Pelosi"" for the next two years <EOS> ."
429	not_propaganda	The <BOS> alleged abuse took place <EOS> decades prior to Francis's 2015 appointment of Barros to the Diocese of Osorno in southern Chile.	(1, 4)	"['The', 'alleged', 'abuse', 'took', 'place', 'decades', 'prior', 'to', 'Francis', ""'s"", '2015', 'appointment', 'of', 'Barros', 'to', 'the', 'Diocese', 'of', 'Osorno', 'in', 'southern', 'Chile', '.']"	['DT', 'JJ', 'NN', 'VBD', 'NN', 'NNS', 'RB', 'TO', 'NNP', 'POS', 'CD', 'NN', 'IN', 'NNP', 'TO', 'DT', 'NNP', 'IN', 'NNP', 'IN', 'JJ', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'DATE', 'O', 'O', 'PERSON', 'O', 'DATE', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'GPE', 'O']	4	23	0.17391304347826086	4	23	19	
430	causal_oversimplification	"<BOS> Ford is not seeking justice nor is she seeking to do her ""civic duty."" She is seeking to slander a man's character for something she cannot prove that she claims happened over 36 years ago <EOS>."	(0, 39)	"['Ford', 'is', 'not', 'seeking', 'justice', 'nor', 'is', 'she', 'seeking', 'to', 'do', 'her', '``', 'civic', 'duty', '.', ""''"", 'She', 'is', 'seeking', 'to', 'slander', 'a', 'man', ""'s"", 'character', 'for', 'something', 'she', 'can', 'not', 'prove', 'that', 'she', 'claims', 'happened', 'over', '36', 'years', 'ago', '.']"	"['NNP', 'VBZ', 'RB', 'VBG', 'NN', 'CC', 'VBZ', 'PRP', 'VBG', 'TO', 'VB', 'PRP$', '``', 'JJ', 'NN', '.', ""''"", 'PRP', 'VBZ', 'VBG', 'TO', 'VB', 'DT', 'NN', 'POS', 'NN', 'IN', 'NN', 'PRP', 'MD', 'RB', 'VB', 'IN', 'PRP', 'VBZ', 'VBD', 'IN', 'CD', 'NNS', 'RB', '.']"	['ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'DATE']	40	41	0.975609756097561	40	41	1	 <BOS> Ford is driven by a desire to besmirch a man's character for an unproven allegation that allegedly dates back over 36 years <EOS> .
431	repetition	<BOS> That is a fact <EOS>.	(0, 3)	['That', 'is', 'a', 'fact', '.']	['DT', 'VBZ', 'DT', 'NN', '.']	['O', 'O', 'O', 'O', 'O']	4	5	0.8	4	5	1	 <BOS> That is undeniable <EOS> .
432	doubt	However, <BOS> taken together as a whole, it's far too suspicious to lend it any credibility <EOS>.	(2, 17)	"['However', ',', 'taken', 'together', 'as', 'a', 'whole', ',', 'it', ""'s"", 'far', 'too', 'suspicious', 'to', 'lend', 'it', 'any', 'credibility', '.']"	['RB', ',', 'VBN', 'RB', 'IN', 'DT', 'NN', ',', 'PRP', 'VBZ', 'RB', 'RB', 'JJ', 'TO', 'VB', 'PRP', 'DT', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	16	19	0.8421052631578947	16	19	3	However,  <BOS> when viewed as a whole, it's far too questionable to warrant any trust <EOS> .
433	loaded_language	Another student told my daughter that she and the first student and her adult friends are going to kill me and carve a <BOS> satanic <EOS> star in my chest and rip out my organs.	(23, 23)	['Another', 'student', 'told', 'my', 'daughter', 'that', 'she', 'and', 'the', 'first', 'student', 'and', 'her', 'adult', 'friends', 'are', 'going', 'to', 'kill', 'me', 'and', 'carve', 'a', 'satanic', 'star', 'in', 'my', 'chest', 'and', 'rip', 'out', 'my', 'organs', '.']	['DT', 'NN', 'VBD', 'PRP$', 'NN', 'IN', 'PRP', 'CC', 'DT', 'JJ', 'NN', 'CC', 'PRP$', 'NN', 'NNS', 'VBP', 'VBG', 'TO', 'VB', 'PRP', 'CC', 'VB', 'DT', 'JJ', 'NN', 'IN', 'PRP$', 'NN', 'CC', 'NN', 'IN', 'PRP$', 'NNS', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	34	0.029411764705882353	1	34	33	Another student told my daughter that she and the first student and her adult friends are going to kill me and carve a  <BOS> The maleficent forces at work <EOS>  star in my chest and rip out my organs.
434	not_propaganda	She <BOS> acknowledges that cloistered <EOS> orders of nuns have for some time been gathered into federations.	(1, 3)	['She', 'acknowledges', 'that', 'cloistered', 'orders', 'of', 'nuns', 'have', 'for', 'some', 'time', 'been', 'gathered', 'into', 'federations', '.']	['PRP', 'VBZ', 'IN', 'JJ', 'NNS', 'IN', 'NNS', 'VBP', 'IN', 'DT', 'NN', 'VBN', 'VBN', 'IN', 'NNS', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	3	16	0.1875	3	16	13	
435	not_propaganda	Today, <BOS> it's gone up, to <EOS> 90% without power.	(2, 7)	"['Today', ',', 'it', ""'s"", 'gone', 'up', ',', 'to', '90', '%', 'without', 'power', '.']"	['NN', ',', 'PRP', 'VBZ', 'VBN', 'RB', ',', 'TO', 'CD', 'NN', 'IN', 'NN', '.']	['DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERCENT', 'PERCENT', 'O', 'O', 'O']	6	13	0.46153846153846156	6	13	7	
436	loaded_language	I was like, '<BOS> Whoa! Whoa! Whoa! <EOS>' First of all, calligraphy was invented in China 3,000 years prior to Muhammad.	(5, 10)	"['I', 'was', 'like', ',', ""'"", 'Whoa', '!', 'Whoa', '!', 'Whoa', '!', ""'"", 'First', 'of', 'all', ',', 'calligraphy', 'was', 'invented', 'in', 'China', '3,000', 'years', 'prior', 'to', 'Muhammad', '.']"	"['PRP', 'VBD', 'IN', ',', ""''"", 'NNP', '.', 'NNP', '.', 'NNP', '.', ""''"", 'NNP', 'IN', 'DT', ',', 'NN', 'VBD', 'VBN', 'IN', 'NNP', 'CD', 'NNS', 'RB', 'TO', 'NNP', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'DATE', 'DATE', 'O', 'O', 'PERSON', 'O']	6	27	0.2222222222222222	6	27	21	I was like, ' <BOS> Wow, yeah! <EOS> ' First of all, calligraphy was invented in China 3,000 years prior to Muhammad.
437	flag_waving	"""In addition to stopping all payments to these countries, which seem to have almost no control over their population, I must, in the strongest of terms, ask Mexico to stop this onslaught  and if unable to do so I will call up the U.S. Military and CLOSE <BOS> OUR SOUTHERN BORDER! <EOS>"" Trump said on Twitter."	(52, 55)	['``', 'In', 'addition', 'to', 'stopping', 'all', 'payments', 'to', 'these', 'countries', ',', 'which', 'seem', 'to', 'have', 'almost', 'no', 'control', 'over', 'their', 'population', ',', 'I', 'must', ',', 'in', 'the', 'strongest', 'of', 'terms', ',', 'ask', 'Mexico', 'to', 'stop', 'this', 'onslaught', 'and', 'if', 'unable', 'to', 'do', 'so', 'I', 'will', 'call', 'up', 'the', 'U.S.', 'Military', 'and', 'CLOSE', 'OUR', 'SOUTHERN', 'BORDER', '!', '``', 'Trump', 'said', 'on', 'Twitter', '.']	['``', 'IN', 'NN', 'TO', 'VBG', 'DT', 'NNS', 'TO', 'DT', 'NNS', ',', 'WDT', 'VBP', 'TO', 'VB', 'RB', 'DT', 'NN', 'IN', 'PRP$', 'NN', ',', 'PRP', 'MD', ',', 'IN', 'DT', 'JJS', 'IN', 'NNS', ',', 'VB', 'NNP', 'TO', 'VB', 'DT', 'NN', 'CC', 'IN', 'JJ', 'TO', 'VB', 'RB', 'PRP', 'MD', 'VB', 'RP', 'DT', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', 'NNP', '.', '``', 'NNP', 'VBD', 'IN', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PERSON', 'O', 'O']	4	62	0.06451612903225806	4	62	58	"""In addition to stopping all payments to these countries, which seem to have almost no control over their population, I must, in the strongest of terms, ask Mexico to stop this onslaught  and if unable to do so I will call up the U.S. Military and CLOSE  <BOS> OUR SOUTHERN BORDER IS CLOSED <EOS> "" Trump said on Twitter."
438	not_propaganda	There is no telling when the worst consequences of <BOS> Obama's aid and comfort to the Islamic Republic of Iran will be <EOS> felt.	(9, 21)	"['There', 'is', 'no', 'telling', 'when', 'the', 'worst', 'consequences', 'of', 'Obama', ""'s"", 'aid', 'and', 'comfort', 'to', 'the', 'Islamic', 'Republic', 'of', 'Iran', 'will', 'be', 'felt', '.']"	['EX', 'VBZ', 'DT', 'VBG', 'WRB', 'DT', 'JJS', 'NNS', 'IN', 'NNP', 'POS', 'NN', 'CC', 'NN', 'TO', 'DT', 'NNP', 'NNP', 'IN', 'NNP', 'MD', 'VB', 'VBN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE', 'O', 'O', 'O', 'O']	13	24	0.5416666666666666	13	24	11	
439	not_propaganda	Penkoski claimed the teacher sent students home with the same packet the day after he lodged a <BOS> complaint  <EOS> this time, with certain sections crossed out but still including the Shahada assignment.	(17, 17)	['Penkoski', 'claimed', 'the', 'teacher', 'sent', 'students', 'home', 'with', 'the', 'same', 'packet', 'the', 'day', 'after', 'he', 'lodged', 'a', 'complaint', 'this', 'time', ',', 'with', 'certain', 'sections', 'crossed', 'out', 'but', 'still', 'including', 'the', 'Shahada', 'assignment', '.']	['NNP', 'VBD', 'DT', 'NN', 'VBD', 'NNS', 'NN', 'IN', 'DT', 'JJ', 'NN', 'DT', 'NN', 'IN', 'PRP', 'VBD', 'DT', 'NN', 'DT', 'NN', ',', 'IN', 'JJ', 'NNS', 'VBN', 'RP', 'CC', 'RB', 'VBG', 'DT', 'NNP', 'NN', '.']	['PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O']	1	33	0.030303030303030304	1	33	32	
440	doubt	"<BOS> Does anyone really think Iran will be better off if Trump puts a bunch of ""former"" terrorists in charge of the country? <EOS>"	(0, 24)	"['Does', 'anyone', 'really', 'think', 'Iran', 'will', 'be', 'better', 'off', 'if', 'Trump', 'puts', 'a', 'bunch', 'of', '``', 'former', ""''"", 'terrorists', 'in', 'charge', 'of', 'the', 'country', '?']"	"['NNP', 'NN', 'RB', 'VBP', 'NNP', 'MD', 'VB', 'JJR', 'IN', 'IN', 'NNP', 'VBZ', 'DT', 'NN', 'IN', '``', 'JJ', ""''"", 'NNS', 'IN', 'NN', 'IN', 'DT', 'NN', '.']"	['O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	25	25	1.0	25	25	0	 <BOS> Does anyone truly believe that Iran's prospects would improve if Trump were to install a group of 'ex-' militants in power? <EOS> 
441	not_propaganda	"2, <BOS> ""ipsius Romani <EOS> Pontificis dumtaxat ius est iudicandi"";"	(2, 4)	"['2', ',', '``', 'ipsius', 'Romani', 'Pontificis', 'dumtaxat', 'ius', 'est', 'iudicandi', ""''"", ';']"	"['CD', ',', '``', 'NN', 'NNP', 'NNP', 'VBZ', 'NN', 'JJS', 'NN', ""''"", ':']"	['CARDINAL', 'O', 'O', 'O', 'O', 'NORP', 'PERSON', 'O', 'O', 'O', 'O', 'O']	3	12	0.25	3	12	9	
442	flag_waving	<BOS> The battle for America -- and for the West -- is on <EOS>.	(0, 11)	['The', 'battle', 'for', 'America', '--', 'and', 'for', 'the', 'West', '--', 'is', 'on', '.']	['DT', 'NN', 'IN', 'NNP', ':', 'CC', 'IN', 'DT', 'NNP', ':', 'VBZ', 'IN', '.']	['O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'LOC', 'O', 'O', 'O', 'O']	12	13	0.9230769230769231	12	13	1	 <BOS> The fight for Western values is unfolding before our eyes <EOS> .
