	label	tagged_in_context	span_bounds	all_tokens	all_pos_tokens	all_ner_tokens	silver_tagged_in_context
87	not_propaganda	"""My expectation is it will probably have <BOS> the same outcome, because the church is the church, and they do it for appearance, but they're still <EOS> going to go by their own rules,"" he said."	(8, 29)	"['``', 'My', 'expectation', 'is', 'it', 'will', 'probably', 'have', 'the', 'same', 'outcome', ',', 'because', 'the', 'church', 'is', 'the', 'church', ',', 'and', 'they', 'do', 'it', 'for', 'appearance', ',', 'but', 'they', ""'re"", 'still', 'going', 'to', 'go', 'by', 'their', 'own', 'rules', ',', ""''"", 'he', 'said', '.']"	"['``', 'PRP$', 'NN', 'VBZ', 'PRP', 'MD', 'RB', 'VB', 'DT', 'JJ', 'NN', ',', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'NN', ',', 'CC', 'PRP', 'VBP', 'PRP', 'IN', 'NN', ',', 'CC', 'PRP', 'VBP', 'RB', 'VBG', 'TO', 'VB', 'IN', 'PRP$', 'JJ', 'NNS', ',', ""''"", 'PRP', 'VBD', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	
88	not_propaganda	Democratic governor, <BOS> Republican <EOS> legislature.	(3, 3)	['Democratic', 'governor', ',', 'Republican', 'legislature', '.']	['JJ', 'NN', ',', 'JJ', 'NN', '.']	['NORP', 'O', 'O', 'NORP', 'O', 'O']	
89	not_propaganda	"""The messages cast a <BOS> cloud over <EOS> the FBI investigations to which these employees were assigned,"" Horowitz alleged."	(5, 6)	"['``', 'The', 'messages', 'cast', 'a', 'cloud', 'over', 'the', 'FBI', 'investigations', 'to', 'which', 'these', 'employees', 'were', 'assigned', ',', ""''"", 'Horowitz', 'alleged', '.']"	"['``', 'DT', 'NNS', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNS', 'TO', 'WDT', 'DT', 'NNS', 'VBD', 'VBN', ',', ""''"", 'NNP', 'VBD', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O']	
90	doubt	<BOS> Capitol Police didn't make arrests despite numerous red flags and then 'inadvertently' gave evidence to defense attorneys that was supposed to go to prosecutors <EOS>	(0, 25)	"['Capitol', 'Police', 'did', ""n't"", 'make', 'arrests', 'despite', 'numerous', 'red', 'flags', 'and', 'then', ""'inadvertently"", ""'"", 'gave', 'evidence', 'to', 'defense', 'attorneys', 'that', 'was', 'supposed', 'to', 'go', 'to', 'prosecutors']"	['NNP', 'NNP', 'VBD', 'RB', 'VB', 'NNS', 'IN', 'JJ', 'JJ', 'NNS', 'CC', 'RB', 'RB', 'POS', 'VBD', 'NN', 'TO', 'NN', 'NNS', 'WDT', 'VBD', 'VBN', 'TO', 'VB', 'TO', 'NNS']	['ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	 <BOS> Capitol Police overlooked multiple warning signals and then 'inadvertently' supplied evidence meant for prosecutors to defense attorneys. <EOS> 
91	appeal_to_fear_prejudice	The Oakland mayor's decision to publicize her suspicions about ICE operations <BOS> further increased that risk for my officers and alerted criminal aliens <EOS>  making clear that this reckless decision was based on her political agenda.	(12, 22)	"['The', 'Oakland', 'mayor', ""'s"", 'decision', 'to', 'publicize', 'her', 'suspicions', 'about', 'ICE', 'operations', 'further', 'increased', 'that', 'risk', 'for', 'my', 'officers', 'and', 'alerted', 'criminal', 'aliens', 'making', 'clear', 'that', 'this', 'reckless', 'decision', 'was', 'based', 'on', 'her', 'political', 'agenda', '.']"	['DT', 'NNP', 'NN', 'POS', 'NN', 'TO', 'VB', 'PRP$', 'NNS', 'IN', 'NNP', 'NNS', 'RBR', 'VBD', 'IN', 'NN', 'IN', 'PRP$', 'NNS', 'CC', 'VBD', 'JJ', 'NNS', 'VBG', 'JJ', 'IN', 'DT', 'JJ', 'NN', 'VBD', 'VBN', 'IN', 'PRP$', 'JJ', 'NN', '.']	['O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	The Oakland mayor's decision to publicize her suspicions about ICE operations  <BOS> The mayor's decision to publicize her suspicions about ICE operations undermined trust in law enforcement and emboldened criminal aliens. <EOS>   making clear that this reckless decision was based on her political agenda.
92	exaggeration,minimisation	"It is <BOS> the most serious <EOS> mistake of his presidency and must be corrected  immediately."""	(2, 4)	"['It', 'is', 'the', 'most', 'serious', 'mistake', 'of', 'his', 'presidency', 'and', 'must', 'be', 'corrected', 'immediately', '.', ""''""]"	"['PRP', 'VBZ', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'PRP$', 'NN', 'CC', 'MD', 'VB', 'VBN', 'RB', '.', ""''""]"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	"It is  <BOS> the most significant <EOS>  mistake of his presidency and must be corrected  immediately."""
93	repetition	Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty <BOS> righteous <EOS> that are therein?	(21, 21)	['Peradventure', 'there', 'be', 'fifty', 'righteous', 'within', 'the', 'city', ':', 'wilt', 'thou', 'also', 'destroy', 'and', 'not', 'spare', 'the', 'place', 'for', 'the', 'fifty', 'righteous', 'that', 'are', 'therein', '?']	['NN', 'EX', 'VB', 'JJ', 'JJ', 'IN', 'DT', 'NN', ':', 'JJ', 'NN', 'RB', 'RB', 'CC', 'RB', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'JJ', 'WDT', 'VBP', 'RB', '.']	['O', 'O', 'O', 'CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CARDINAL', 'O', 'O', 'O', 'O', 'O']	Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty  <BOS> Peradventure there be fifty innocent within the city: wilt thou also destroy and not spare the place for the fifty <EOS>  that are therein?
94	not_propaganda	All four <BOS> remain in agency <EOS> custody.	(2, 4)	['All', 'four', 'remain', 'in', 'agency', 'custody', '.']	['DT', 'CD', 'VBP', 'IN', 'NN', 'NN', '.']	['O', 'CARDINAL', 'O', 'O', 'O', 'O', 'O']	
95	repetition	"Of course, many parents choose homeschooling as a means of <BOS> protecting <EOS> their children from federal education ""reforms"" such as Common Core."	(11, 11)	"['Of', 'course', ',', 'many', 'parents', 'choose', 'homeschooling', 'as', 'a', 'means', 'of', 'protecting', 'their', 'children', 'from', 'federal', 'education', '``', 'reforms', ""''"", 'such', 'as', 'Common', 'Core', '.']"	"['IN', 'NN', ',', 'JJ', 'NNS', 'VBP', 'VBG', 'IN', 'DT', 'NN', 'IN', 'VBG', 'PRP$', 'NNS', 'IN', 'JJ', 'NN', '``', 'NNS', ""''"", 'JJ', 'IN', 'NNP', 'NNP', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON', 'O']	"Of course, many parents choose homeschooling as a means of  <BOS> Shielding <EOS>  their children from federal education ""reforms"" such as Common Core."
96	not_propaganda	The push for these changes is still on, however, under the <BOS> current General, an Italian, Saverio Cannistr. <EOS>	(13, 21)	['The', 'push', 'for', 'these', 'changes', 'is', 'still', 'on', ',', 'however', ',', 'under', 'the', 'current', 'General', ',', 'an', 'Italian', ',', 'Saverio', 'Cannistr', '.']	['DT', 'NN', 'IN', 'DT', 'NNS', 'VBZ', 'RB', 'IN', ',', 'RB', ',', 'IN', 'DT', 'JJ', 'NNP', ',', 'DT', 'JJ', ',', 'NNP', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'PERSON', 'PERSON', 'O']	
97	not_propaganda	MEK <BOS> is the Iranian political-militant organization that advocates for the violent overthrow of <EOS> the current Iranian regime.	(1, 12)	['MEK', 'is', 'the', 'Iranian', 'political-militant', 'organization', 'that', 'advocates', 'for', 'the', 'violent', 'overthrow', 'of', 'the', 'current', 'Iranian', 'regime', '.']	['NNP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'WDT', 'VBZ', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', '.']	['PERSON', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O']	
98	not_propaganda	"Nah: his tax <BOS> cuts and return to ""normalcy"" got the American economy, <EOS> and the Twenties, roaring."	(4, 15)	"['Nah', ':', 'his', 'tax', 'cuts', 'and', 'return', 'to', '``', 'normalcy', ""''"", 'got', 'the', 'American', 'economy', ',', 'and', 'the', 'Twenties', ',', 'roaring', '.']"	"['NN', ':', 'PRP$', 'NN', 'NNS', 'CC', 'VB', 'TO', '``', 'VB', ""''"", 'VBD', 'DT', 'JJ', 'NN', ',', 'CC', 'DT', 'NNPS', ',', 'VBG', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O']	
99	causal_oversimplification	Thus, <BOS> when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA <EOS>, the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.	(2, 27)	['Thus', ',', 'when', 'Oswald', 'was', 'claiming', 'that', 'he', 'was', 'being', 'framed', ',', 'there', 'could', 'be', 'only', 'one', 'entity', 'that', 'he', 'could', 'have', 'been', 'thinking', 'about', ':', 'the', 'CIA', ',', 'the', 'agency', 'whose', 'officials', ',', 'as', 'former', 'Washington', 'Post', 'investigative', 'reporter', 'Jefferson', 'Morley', 'has', 'documented', ',', 'were', 'secretly', 'monitoring', 'his', 'activities', 'in', 'the', 'weeks', 'leading', 'up', 'to', 'the', 'assassination', ',', 'no', 'doubt', 'to', 'ensure', 'that', 'Oswald', 'had', 'not', 'figured', 'out', 'what', 'was', 'about', 'to', 'happen', 'to', 'him', '.']	['RB', ',', 'WRB', 'NNP', 'VBD', 'VBG', 'IN', 'PRP', 'VBD', 'VBG', 'VBN', ',', 'EX', 'MD', 'VB', 'RB', 'CD', 'NN', 'IN', 'PRP', 'MD', 'VB', 'VBN', 'VBG', 'IN', ':', 'DT', 'NNP', ',', 'DT', 'NN', 'WP$', 'NNS', ',', 'IN', 'JJ', 'NNP', 'NNP', 'JJ', 'NN', 'NNP', 'NNP', 'VBZ', 'VBN', ',', 'VBD', 'RB', 'VBG', 'PRP$', 'NNS', 'IN', 'DT', 'NNS', 'VBG', 'RB', 'TO', 'DT', 'NN', ',', 'DT', 'NN', 'TO', 'VB', 'IN', 'NNP', 'VBD', 'RB', 'VBN', 'RP', 'WP', 'VBD', 'RB', 'TO', 'VB', 'TO', 'PRP', '.']	['O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'PERSON', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Thus,  <BOS> as Oswald insisted he was being railroaded, his mind was probably preoccupied with the one group responsible for the alleged setup: the Central Intelligence Agency. <EOS> , the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.
100	not_propaganda	Power <BOS> was a senior adviser to <EOS> President Barack Obama.	(1, 5)	['Power', 'was', 'a', 'senior', 'adviser', 'to', 'President', 'Barack', 'Obama', '.']	['NN', 'VBD', 'DT', 'JJ', 'NN', 'TO', 'NNP', 'NNP', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON', 'O']	
101	flag_waving	Slowly but surely we are beginning to see the truth about the horrific attack come to light despite <BOS> authorities desperately trying to prevent it from reaching the American people <EOS>.	(18, 28)	['Slowly', 'but', 'surely', 'we', 'are', 'beginning', 'to', 'see', 'the', 'truth', 'about', 'the', 'horrific', 'attack', 'come', 'to', 'light', 'despite', 'authorities', 'desperately', 'trying', 'to', 'prevent', 'it', 'from', 'reaching', 'the', 'American', 'people', '.']	['RB', 'CC', 'RB', 'PRP', 'VBP', 'VBG', 'TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', 'TO', 'JJ', 'IN', 'NNS', 'RB', 'VBG', 'TO', 'VB', 'PRP', 'IN', 'VBG', 'DT', 'JJ', 'NNS', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O']	Slowly but surely we are beginning to see the truth about the horrific attack come to light despite  <BOS> but governments and media are working hard to suppress it <EOS> .
102	doubt	<BOS> But Jewish groups on and off campus have denounced the report as flawed, saying it missed the significance of an anti-Semitic text circulated online before Noah Lew was removed from the board last fall <EOS>.	(0, 34)	['But', 'Jewish', 'groups', 'on', 'and', 'off', 'campus', 'have', 'denounced', 'the', 'report', 'as', 'flawed', ',', 'saying', 'it', 'missed', 'the', 'significance', 'of', 'an', 'anti-Semitic', 'text', 'circulated', 'online', 'before', 'Noah', 'Lew', 'was', 'removed', 'from', 'the', 'board', 'last', 'fall', '.']	['CC', 'JJ', 'NNS', 'IN', 'CC', 'IN', 'NN', 'VBP', 'VBN', 'DT', 'NN', 'IN', 'VBN', ',', 'VBG', 'PRP', 'VBD', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBN', 'NN', 'IN', 'NNP', 'NNP', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'JJ', 'NN', '.']	['O', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'O']	 <BOS> Additionally, Jewish groups on and off campus have disputed the report's findings, saying it neglected the impact of an anti-Semitic message spread online before Noah Lew's departure from the board last fall <EOS> .
103	name_calling,labeling	Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by <BOS> a youthful vanguard <EOS>, of what is ever ancient but ever new.	(24, 26)	['Irony', 'of', 'ironies', ',', 'he', 'is', 'now', 'reduced', 'to', 'defending', 'what', 'is', 'old', 'and', 'tired', 'and', 'corrupt', 'against', 'a', 'restoration', ',', 'led', 'largely', 'by', 'a', 'youthful', 'vanguard', ',', 'of', 'what', 'is', 'ever', 'ancient', 'but', 'ever', 'new', '.']	['NNP', 'IN', 'NNS', ',', 'PRP', 'VBZ', 'RB', 'VBN', 'TO', 'VBG', 'WP', 'VBZ', 'JJ', 'CC', 'JJ', 'CC', 'JJ', 'IN', 'DT', 'NN', ',', 'VBN', 'RB', 'IN', 'DT', 'JJ', 'NN', ',', 'IN', 'WP', 'VBZ', 'RB', 'JJ', 'CC', 'RB', 'JJ', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by  <BOS> a revitalized phalanx <EOS> , of what is ever ancient but ever new.
104	name_calling,labeling	Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that <BOS> the tyrant King George <EOS> feared the most.	(16, 19)	['Apparently', ',', 'this', 'individual', 'who', 'wrote', 'the', 'article', 'knows', 'nothing', 'of', 'the', 'Black', 'Robed', 'Regiment', 'that', 'the', 'tyrant', 'King', 'George', 'feared', 'the', 'most', '.']	['RB', ',', 'DT', 'NN', 'WP', 'VBD', 'DT', 'NN', 'VBZ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'DT', 'JJ', 'NNP', 'NNP', 'VBD', 'DT', 'RBS', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PERSON', 'PERSON', 'O', 'O', 'O', 'O']	Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that  <BOS> the despotic ruler King George <EOS>  feared the most.
105	not_propaganda	The same administration that was against mandatory minimums for its drug dealers and gang members went to court to defend mandatory minimums under the <BOS> Antiterrorism and Effective <EOS> Death Penalty Act.	(24, 26)	['The', 'same', 'administration', 'that', 'was', 'against', 'mandatory', 'minimums', 'for', 'its', 'drug', 'dealers', 'and', 'gang', 'members', 'went', 'to', 'court', 'to', 'defend', 'mandatory', 'minimums', 'under', 'the', 'Antiterrorism', 'and', 'Effective', 'Death', 'Penalty', 'Act', '.']	['DT', 'JJ', 'NN', 'WDT', 'VBD', 'IN', 'JJ', 'NNS', 'IN', 'PRP$', 'NN', 'NNS', 'CC', 'NN', 'NNS', 'VBD', 'TO', 'NN', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'DT', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	
106	loaded_language	Here is the <BOS> dirty <EOS> secret that is now emerging.	(3, 3)	['Here', 'is', 'the', 'dirty', 'secret', 'that', 'is', 'now', 'emerging', '.']	['RB', 'VBZ', 'DT', 'NN', 'NN', 'WDT', 'VBZ', 'RB', 'VBG', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Here is the  <BOS> Soiled <EOS>  secret that is now emerging.
107	exaggeration,minimisation	"While questioning Kavanaugh, Graham lambasted the confirmation process the judge has been put through, calling it ""<BOS> the most unethical sham since I've been in politics <EOS>."""	(19, 28)	"['While', 'questioning', 'Kavanaugh', ',', 'Graham', 'lambasted', 'the', 'confirmation', 'process', 'the', 'judge', 'has', 'been', 'put', 'through', ',', 'calling', 'it', '``', 'the', 'most', 'unethical', 'sham', 'since', 'I', ""'ve"", 'been', 'in', 'politics', '.', ""''""]"	"['IN', 'VBG', 'NNP', ',', 'NNP', 'VBD', 'DT', 'NN', 'NN', 'DT', 'NN', 'VBZ', 'VBN', 'VBN', 'IN', ',', 'VBG', 'PRP', '``', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'PRP', 'VBP', 'VBN', 'IN', 'NNS', '.', ""''""]"	['O', 'O', 'PERSON', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	"While questioning Kavanaugh, Graham lambasted the confirmation process the judge has been put through, calling it "" <BOS> an appalling miscarriage of justice <EOS> ."""
108	not_propaganda	Both Harris and Warren stand accused of breaking fundraising rules <BOS> by sending out fundraising emails asking for <EOS> donations to support their votes against Justice Brett M. Kavanaugh.	(10, 16)	['Both', 'Harris', 'and', 'Warren', 'stand', 'accused', 'of', 'breaking', 'fundraising', 'rules', 'by', 'sending', 'out', 'fundraising', 'emails', 'asking', 'for', 'donations', 'to', 'support', 'their', 'votes', 'against', 'Justice', 'Brett', 'M.', 'Kavanaugh', '.']	['DT', 'NNP', 'CC', 'NNP', 'VBP', 'VBN', 'IN', 'VBG', 'VBG', 'NNS', 'IN', 'VBG', 'RP', 'VBG', 'NNS', 'VBG', 'IN', 'NNS', 'TO', 'VB', 'PRP$', 'NNS', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', '.']	['O', 'PERSON', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON', 'PERSON', 'O']	
109	causal_oversimplification	<BOS> Simply put, the 21st century has not been good for non-Hispanic job seekers <EOS>.	(0, 13)	['Simply', 'put', ',', 'the', '21st', 'century', 'has', 'not', 'been', 'good', 'for', 'non-Hispanic', 'job', 'seekers', '.']	['NNP', 'VBD', ',', 'DT', 'JJ', 'NN', 'VBZ', 'RB', 'VBN', 'JJ', 'IN', 'JJ', 'NN', 'NNS', '.']	['O', 'O', 'O', 'DATE', 'DATE', 'DATE', 'O', 'O', 'O', 'O', 'O', 'NORP', 'O', 'O', 'O']	 <BOS> In general, the 21st century has been unfavorable for non-Hispanic job seekers <EOS> .
110	flag_waving	BREAKING NEWS: TRUMP TELLS JEFF SESSIONS TO PUT AN END TO RUSSIA PROBE AS HE CLAIMS <BOS> PROSECUTORS DOING MUELLER'S 'DIRTY WORK ARE A DISGRACE' TO AMERICA <EOS>	(17, 28)	"['BREAKING', 'NEWS', ':', 'TRUMP', 'TELLS', 'JEFF', 'SESSIONS', 'TO', 'PUT', 'AN', 'END', 'TO', 'RUSSIA', 'PROBE', 'AS', 'HE', 'CLAIMS', 'PROSECUTORS', 'DOING', 'MUELLER', ""'S"", ""'DIRTY"", 'WORK', 'ARE', 'A', 'DISGRACE', ""'"", 'TO', 'AMERICA']"	['NNP', 'NNP', ':', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'POS', 'JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'POS', 'NNP', 'NNP']	['O', 'O', 'O', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	BREAKING NEWS: TRUMP TELLS JEFF SESSIONS TO PUT AN END TO RUSSIA PROBE AS HE CLAIMS  <BOS> PROSECUTORS CARRYING OUT MUELLER'S AGENDA ARE A VIOLATION OF THE CONSTITUTION <EOS> 
111	not_propaganda	When I was <BOS> the apostolic delegate <EOS> to Pius XII, I was going to Rome every year.	(3, 5)	['When', 'I', 'was', 'the', 'apostolic', 'delegate', 'to', 'Pius', 'XII', ',', 'I', 'was', 'going', 'to', 'Rome', 'every', 'year', '.']	['WRB', 'PRP', 'VBD', 'DT', 'JJ', 'NN', 'TO', 'NNP', 'NNP', ',', 'PRP', 'VBD', 'VBG', 'TO', 'VB', 'DT', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'GPE', 'DATE', 'DATE', 'O']	
112	flag_waving	"""It's time for <BOS> our leaders <EOS> in Washington to follow the lead of America's mayors and put public safety over NRA priorities."""	(5, 6)	"['``', 'It', ""'s"", 'time', 'for', 'our', 'leaders', 'in', 'Washington', 'to', 'follow', 'the', 'lead', 'of', 'America', ""'s"", 'mayors', 'and', 'put', 'public', 'safety', 'over', 'NRA', 'priorities', '.', ""''""]"	"['``', 'PRP', 'VBZ', 'NN', 'IN', 'PRP$', 'NNS', 'IN', 'NNP', 'TO', 'VB', 'DT', 'NN', 'IN', 'NNP', 'POS', 'NNS', 'CC', 'VB', 'JJ', 'NN', 'IN', 'NNP', 'NNS', '.', ""''""]"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O']	"""It's time for  <BOS> our local authorities <EOS>  in Washington to follow the lead of America's mayors and put public safety over NRA priorities."""
113	causal_oversimplification	So, <BOS> they dig up some Trump-hating woman from Kavanaugh's past and convince her to say that he assaulted her thinking that such an allegation will surely delay the vote long enough for them to regain control of Congress <EOS>.	(2, 39)	"['So', ',', 'they', 'dig', 'up', 'some', 'Trump-hating', 'woman', 'from', 'Kavanaugh', ""'s"", 'past', 'and', 'convince', 'her', 'to', 'say', 'that', 'he', 'assaulted', 'her', 'thinking', 'that', 'such', 'an', 'allegation', 'will', 'surely', 'delay', 'the', 'vote', 'long', 'enough', 'for', 'them', 'to', 'regain', 'control', 'of', 'Congress', '.']"	['RB', ',', 'PRP', 'VBP', 'RP', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'POS', 'NN', 'CC', 'NN', 'PRP$', 'TO', 'VB', 'IN', 'PRP', 'VBD', 'PRP', 'VBG', 'IN', 'PDT', 'DT', 'NN', 'MD', 'RB', 'VB', 'DT', 'NN', 'RB', 'RB', 'IN', 'PRP', 'TO', 'VB', 'NN', 'IN', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O']	So,  <BOS> To forestall the vote, they identified a Trump-critic from Kavanaugh's past, successfully pressured her to claim that he committed a sexual offense, relying on the subsequent delay to allow them to regain control of Congress <EOS> .
114	not_propaganda	"""My wife and I were <BOS> in Las Vegas celebrating our 10th anniversary and on October 1st we were involved in an <EOS> incident with an active shooter at the Bellagio."	(6, 21)	['``', 'My', 'wife', 'and', 'I', 'were', 'in', 'Las', 'Vegas', 'celebrating', 'our', '10th', 'anniversary', 'and', 'on', 'October', '1st', 'we', 'were', 'involved', 'in', 'an', 'incident', 'with', 'an', 'active', 'shooter', 'at', 'the', 'Bellagio', '.']	['``', 'PRP$', 'NN', 'CC', 'PRP', 'VBD', 'IN', 'NNP', 'NNP', 'VBG', 'PRP$', 'JJ', 'NN', 'CC', 'IN', 'NNP', 'CD', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'GPE', 'O', 'O', 'ORDINAL', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'O']	
